Number of Estimators,Max Depth,Mean Accuracy,Mean Precision,Mean Recall,Mean F1 Score
100,,0.8874358974358975,0.8874358974358975,0.8874358974358975,0.8874358974358975
100,3.0,0.5783394383394382,0.5783394383394382,0.5783394383394382,0.5783394383394382
100,5.0,0.6744200244200245,0.6744200244200245,0.6744200244200245,0.6744200244200245
200,,0.8907570207570208,0.8907570207570208,0.8907570207570208,0.8907570207570208
200,3.0,0.5838583638583639,0.5838583638583639,0.5838583638583639,0.5838583638583639
200,5.0,0.6787912087912088,0.6787912087912088,0.6787912087912088,0.6787912087912088
300,,0.8918315018315018,0.8918315018315018,0.8918315018315018,0.8918315018315018
300,3.0,0.5717460317460317,0.5717460317460317,0.5717460317460317,0.5717460317460317
300,5.0,0.6787912087912088,0.6787912087912088,0.6787912087912088,0.6787912087912088
